,X,Name,LONG,LAT,ET,PET,NPP,WB,MAT,TS,MCM,MWM,DJF.Tavg,MAM.Tavg,JJA.Tavg,SON.Tavg,Log10.TAP,PS,Log10.PWM,Log10.PDM,Log10.DJF.Prec,Log10.MAM.Prec,Log10.JJA.Prec,Log10.SON.Prec,Log10.TRI,density
29,29,Bambote,28.26,-6.64,16.8353138,1178.120972,1520.872681,2016.879028,23.4949379,92.97870636,21.81349945,31.5502491,23.55766678,23.79166603,22.34441757,24.28600121,3.504606771,78.66682434,2.276461804,0.477121255,2.674861141,2.471291711,1.079181246,2.459392488,1.065392962,25
30,30,Baka,15.31,2.39,18.04311371,1272.15332,1955.522949,3494.84668,24.32699966,65.02680206,23.35400009,30.00774956,24.38199997,25.14225006,23.6685009,24.11524963,3.678336247,44.35568237,2.356025857,1.662757832,2.247973266,2.679427897,2.545307116,2.768638101,1.464265934,13.63
31,31,Efe,27.64,2.7,17.68495178,1181.405396,2223.758545,4926.594727,23.55787468,70.5161972,22.53174973,29.56925011,23.9438324,24.31416702,22.86166573,23.11183357,3.785970125,41.95441055,2.380211242,1.748188027,2.267171728,2.7930916,2.782472624,2.797959644,0.977723605,15.96
32,32,Mikea_Madagascar,43.81,-22.32,16.85398674,1427.343506,1118.968506,681.6564941,24.93497849,263.4579773,20.95775032,35.20425034,27.60733414,25.30441666,21.31516647,25.51300049,3.324282455,115.5191498,2.240549248,0.477121255,2.682145076,2.096910013,1.079181246,1.949390007,0.935759104,4.36
33,33,Hukwe,24.32,-16.93,15.47217369,1081.002075,1108.949829,1003.997925,21.95062447,329.3789063,16.25625038,33.07649994,23.71658325,21.58325005,17.4386673,25.06399918,3.319314304,116.7003326,2.225309282,0,2.675778342,2.079181246,0,2.017033339,0.210853365,2.9
34,34,Haiom,16.12,-18.65,15.62243271,1176.042603,714.9856567,53.95739746,22.77933311,359.7538452,16.6222496,34.97624969,25.45066833,22.57766724,17.68058395,25.40841675,3.090258053,120.2485123,2.037426498,0,2.408239965,2.049218023,0.301029996,1.643452676,0.882239848,3.84
35,35,Hadza_(Kindiga),35.18,-3.75,16.08832169,956.0217285,957.5372925,780.9782715,20.84122849,153.1341553,17.88525009,27.9829998,21.92341614,21.47691727,18.55366707,21.41091537,3.240049772,99.67842865,2.11058971,0,2.437750563,2.374748346,0.477121255,1.838849091,1.539389782,24
36,36,Sekele,19.53,-16.42,15.26163673,1021.021423,1143.783447,1147.978516,21.25587463,324.6438904,15.35350037,33.55749893,23.40125084,21.13050079,16.63716698,23.85458374,3.336459734,112.5544968,2.255272505,0,2.664641976,2.214843848,0.301029996,1.995635195,0.243038049,1.52
37,37,!Kung-Nyae_Nyae_&_Dobe,20.56667,-19.8,15.53279591,1169.830444,783.7240601,198.1695557,22.60795784,387.3563843,16.18424988,35.0917511,25.55833244,21.9125824,17.31516647,25.64575005,3.136403448,111.7386246,2.096910013,0,2.46834733,1.944482672,0.477121255,1.875061263,0.544068044,6.6
38,38,Nharo,21.61,-21.64,15.38920879,1130.722534,662.8125,-2.72253418,22.06097984,425.4253235,15.16374969,36.00125122,25.91950035,21.41983223,16.2373333,24.66724968,3.052693942,101.6399155,1.959041392,0,2.356025857,1.934498451,0.301029996,1.812913357,0.301029996,12.5
39,39,Gwi,23.39,-22.46,15.56000519,1217.590088,591.9235229,-224.5900879,22.85170746,426.2727661,15.9460001,36.58724976,26.691082,22.22274971,17.00500107,25.48800087,2.997386384,97.27243805,1.897627091,0,2.278753601,1.86332286,0.477121255,1.838849091,0.301029996,2.93
40,40,Kua,24.41,-22.88,15.5210886,1189.75708,587.1218262,-205.7570801,22.58418655,429.9192505,15.6335001,36.36474991,26.51091576,21.89408302,16.70366669,25.22808456,2.99343623,94.34270477,1.86923172,0,2.260071388,1.851258349,0.477121255,1.880813592,0.176091259,6.36
41,41,!Ko,22.2,-23.86,15.30123806,1104.72998,612.6206055,-72.72998047,21.57625008,469.9019165,14.22550011,36.08374786,26.27574921,21.00016594,15.20666695,23.82241631,3.014100322,92.2616806,1.880813592,0.301029996,2.264817823,1.954242509,0.602059991,1.84509804,0.273001272,1.03
42,42,Auni-Khomani,19.82,-27.37,15.09406757,1040.623413,286.2042847,-587.6234131,20.33718681,573.9041138,11.99075031,36.65200043,26.9046669,20.51366615,12.89125061,21.0391674,2.657055853,98.06285858,1.544068044,0.301029996,1.86923172,1.740362689,0.698970004,1.322219295,0.698970004,0.64
43,43,"Xegwi-""batwa""",30.32,-26.28,13.87124729,707.8219604,1246.811279,1719.177979,14.36883354,350.8838501,8.712750435,26.21375084,17.94499969,14.35733318,9.50841713,15.66458321,3.385248682,76.14692688,2.155336037,1,2.571708832,2.187520721,1.491361694,2.40654018,0.852784869,3.57
44,44,Xam,19.77,-31.47,14.12078857,760.3981323,433.4250793,-55.39813232,15.51970863,477.8049622,9.121250153,28.41399956,21.19091606,16.16650009,9.58291626,15.13849926,2.848804701,28.5109272,1.491361694,1.146128036,1.633468456,1.838849091,1.903089987,1.672097858,0.903089987,2.43
45,45,Gunwinggu-No-Territory,134.12,-12.43,18.11892128,1851.654175,1690.983276,1895.345825,27.25112534,198.8058319,23.87375069,35.10699844,28.81149864,27.57158279,24.31024933,28.31116676,3.573799582,114.0779343,2.45484486,0,2.871572936,2.620136055,0.698970004,1.939519253,0.837272703,17.84
46,46,Murngin_(Yolngu)no-Terr,135.84,-12.93,17.70065498,1731.812866,1609.44873,1742.187134,26.68956184,224.6476898,23.17925072,35.48699951,28.75925064,26.98475075,23.49483299,27.51941681,3.540954809,104.9687042,2.401400541,0.301029996,2.822821645,2.597695186,1.230448921,1.924279286,0.875061263,11.76
47,47,Jeidji-Forest-R-W-Aust,128.19,-15.55,17.5802784,2336.514648,1206.781128,-11.51464844,28.52377129,292.1914063,23.55924988,38.11975098,30.66441727,28.36016655,24.38016701,30.69033241,3.36660971,114.6499786,2.278753601,0,2.692846919,2.267171728,0.602059991,1.986771734,1.347330015,17
48,48,Wikmunkun-Queensland,142,-13.47,17.80833244,1650.404785,1918.111328,2957.595215,26.39779091,187.9142151,23.38199997,34.66749954,28.0684166,26.6863327,23.71199989,27.12441635,3.663606708,124.3520126,2.622214023,0.301029996,3.010299957,2.59439255,0.77815125,2.068185862,0.954242509,19.31
49,49,Kakadu-No-Territory,132.95,-13.13,18.06872559,1916.128418,1816.651367,2286.871582,27.47131348,207.2989655,23.89599991,35.77024841,28.77958298,27.69241714,24.41558266,28.99766731,3.623662707,111.7705917,2.507855872,0.477121255,2.925827575,2.571708832,0.903089987,2.257678575,1.566732029,8.8
50,50,Yir-Yoront-Queensland,142.17,-15,17.51541328,1806.677368,1688.373047,1931.322632,26.95806122,237.3058929,23.00049973,36.53575134,28.8453331,27.19350052,23.50016594,28.29324913,3.572755465,124.3727722,2.527629901,0.301029996,2.920645001,2.481442629,0.84509804,2.029383778,0.528273777,8
51,51,Tiwi-No-Territory,130.674,-11.422,18.56472969,1803.14856,1984.923218,3092.851563,27.16501427,149.1845551,24.41762161,33.49735641,28.20734215,27.37195396,24.91615295,28.16460991,3.689930104,103.0118179,2.541579244,0.477121255,2.963787827,2.709269961,1.146128036,2.278753601,0.960232873,37.5
52,52,Worora-West-Australia,124.72,-15.32,18.41430473,1959.263184,1731.204224,1928.736816,27.65144348,193.5603485,24.30787468,34.59527588,29.06430435,28.18976402,24.77769089,28.57401657,3.589837943,130.5283966,2.583198774,0.301029996,2.931966115,2.5774918,1.230448921,1.698970004,1.391376239,11
53,53,Lungga-West-Australia,127.83,-16.91,16.74225235,1739.703857,1171.91626,498.2961426,26.17545891,390.3700562,19.76025009,37.39925003,29.3002491,25.85725021,20.69358444,28.85074997,3.350054094,114.64151,2.29666519,0.301029996,2.691081492,2.167317335,1.079181246,2,0.882239848,4.5
54,54,Karadjeri-West-Australia,121.56,-19.0883,17.09367752,1949.802979,854.6723633,-434.8029785,27.10229874,357.2257385,21.3181057,37.89554214,30.49656487,28.02024078,22.05468941,27.83769798,3.180699201,128.002243,2.178976947,0.301029996,2.527629901,2.117271296,1.414973348,1.176091259,0.176091259,3.75
55,55,Mamu-Queensland,145.84,-17.64,16.77342796,1233.229492,2445.595947,9752.770508,23.5222702,285.6179504,19.0427494,31.44425011,26.64391708,23.95416641,19.61566544,23.87533379,4.040879125,68.46996307,2.860936621,2.037426498,3.148294097,3.131939295,2.688419822,2.619093331,1.831709843,45
56,56,Kariera-West-Australia,118.27,-20.88,16.48221397,2329.108887,562.9694824,-1390.108887,27.64762497,499.8637085,19.80574989,42.44874954,32.92408371,28.54108429,20.87391663,28.25141716,2.973127854,106.8799133,1.919078092,0,2.264817823,1.954242509,1.568201724,0.77815125,0.477121255,9.5
57,57,Warungu-Queensland,145.61,-18.41,15.71813774,1001.664063,1840.760376,3294.335938,20.95285416,327.9306641,15.80350018,30.46324921,24.50391579,21.18983459,16.47458267,21.64308357,3.633165354,82.12161255,2.450249108,1.491361694,2.862131379,2.633468456,2.071882007,2.204119983,1.402261382,16.28
58,58,Djaru-West-Australia,130,-19.16,16.07174301,1594.853394,861.78302,-64.85339355,24.96254158,519.8435669,16.78224945,38.67399979,30.15200043,24.52799988,17.88125038,27.28891754,3.184975191,121.1271362,2.220108088,0,2.53529412,1.977723605,1,1.819543936,0.458637849,3.98
59,59,Walbiri-No-Territory,130.57,-20,16.05224037,1692.196411,737.6314697,-417.1964111,25.25039482,555.1143188,16.53675079,39.38325119,31.06433296,24.95416641,17.74024963,27.24283218,3.105850674,112.584198,2.08278537,0.477121255,2.460897843,1.857332496,1.146128036,1.73239376,0.588271707,1.16
60,60,Ngatjan-Queensland,145.56,-17.36,15.66340446,964.2972412,2266.86377,7549.702637,20.5363121,295.2524414,15.80725002,29.64175034,23.70433426,20.70908356,16.49041748,21.24141693,3.930184652,62.37284851,2.694605199,1.672097858,3.012837225,3.022840611,2.710963119,2.387389826,1.217483944,59.8
61,61,Mardudjara-West-Austral,125.06,-22.79,16.21801567,1966.400146,517.2363892,-1111.400146,26.08045769,600.0941772,17.06624985,40.91675186,32.45808411,26.27508354,17.93250084,27.65616608,2.932473765,78.44625854,1.806179974,0.77815125,2.164352856,1.913813852,1.477121255,1.491361694,0.511883361,0.75
62,62,Ildawongga-West-Austral,127.18,-22.93,16.04047775,1776.361206,572.6593018,-819.3612061,25.28018761,619.1146851,16.02124977,40.29375076,31.89791679,25.58283424,16.87299919,26.7670002,2.981365509,73.60079956,1.819543936,0.77815125,2.206825876,1.919078092,1.447158031,1.707570176,0.84509804,0.45
63,63,Pintubi-No-Territory,129.44,-22.86,16.14576149,1911.064819,633.1397705,-840.0648193,25.8027916,619.2261353,16.3654995,40.9659996,32.44599915,26.59124947,17.33849907,26.83541679,3.030194785,75.93859863,1.875061263,0.698970004,2.271841607,1.913813852,1.462397998,1.799340549,0.375663614,1.5
64,64,Jinibarra-Queensland,152.87,-27.25,15.47631645,958.5305786,1703.095459,2830.469482,20.02310371,387.2700806,14.08950043,29.98324966,24.35874939,20.87791634,14.80291653,20.05283356,3.57863921,47.83324814,2.276461804,1.579783597,2.7084209,2.550228353,2.187520721,2.392696953,1.172456974,16
65,65,Karuwali-Queensland,141.64,-24.41,15.79975033,1488.166626,480.7019958,-699.166626,23.92812538,604.2581787,14.9347496,38.48474884,30.79400063,24.11533356,15.89183331,24.91133308,2.897627091,78.87211609,1.77815125,0.77815125,2.152288344,1.799340549,1.414973348,1.556302501,0.750122527,2
66,66,Alyawara-No-Territory,135.17,-22.27,15.50575924,1289.569092,527.1080933,-416.5690918,22.67645836,603.2805176,13.65499973,37.54325104,29.45325089,22.52549934,14.71641636,24.0106678,2.941511433,76.8891449,1.792391689,0.84509804,2.198657087,1.812913357,1.414973348,1.662757832,0.942008053,1.21
67,67,Ngatatjara-West-Austral,127.27,-25.32,15.59046364,1356.888794,485.7154541,-558.8887939,22.93304062,638.6105957,13.76200008,37.89099884,30.16408348,22.93391609,14.51366711,24.12050056,2.902546779,55.51333618,1.69019608,0.954242509,2.053078443,1.84509804,1.568201724,1.698970004,0.62838893,0.4
68,68,Pitjandjara-Nt&so-Aust,130,-26,14.89772415,940.0184326,634.7108154,133.9815674,18.9019165,592.9578857,10.41874981,32.1269989,25.79125023,18.95266724,11.15058327,19.71316719,3.031408464,46.13345718,1.792391689,1.146128036,2.139879086,1.913813852,1.740362689,1.939519253,1.079181246,0.6
69,69,Dieri-South-Australia,139.09,-28.54,15.38299847,1241.307007,311.3148193,-746.3070068,21.82006264,672.6030273,12.35124969,37.33150101,29.88549995,21.52649879,13.32575035,22.54249954,2.695481676,27.41012192,1.361727836,1,1.763427994,1.579783597,1.544068044,1.579783597,0.458637849,1.93
70,70,So-Arenda-Nt&so-Austral,133.5,-24.25,15.19002438,1134.872559,500.6960144,-309.8725586,21.10352135,644.4400635,11.72500038,36.6969986,28.5269165,20.60650063,12.81808376,22.46258354,2.916980047,41.87348175,1.568201724,1.041392685,2.025305865,1.875061263,1.602059991,1.763427994,0.960232873,1.1
71,71,Jankundjara-So.Australia,131.95,-27,15.11280632,1060.140381,500.6960144,-235.1403809,20.33518791,625.2459717,11.58625031,35.50299835,27.68091583,20.12599945,12.29066658,21.24316597,2.916980047,36.2450943,1.579783597,1.113943352,1.959041392,1.86332286,1.672097858,1.832508913,0.602059991,1
72,72,No-Arenda-No-Territory,133.76,-23.7,15.1792345,1106.965088,572.6593018,-149.9650879,20.9158535,626.3206787,11.78149986,35.79550171,28.10449982,20.42374992,12.83633327,22.29883385,2.981365509,51.16436005,1.672097858,1,2.11058971,1.949390007,1.579783597,1.826074803,0.882239848,2.66
73,73,Ualarai-Ns-Wales,147.25,-29.3,15.18681622,1092.987915,758.5650024,224.012085,20.75495911,606.1932983,12.14474964,35.07550049,27.89016724,21.35725021,12.95158291,20.82083321,3.11991541,34.60479355,1.832508913,1.342422681,2.195899652,2.053078443,1.892094603,1.977723605,0,9
74,74,Nakako-West-Australia,128.19,-27.31,15.11843586,1059.406128,443.6299744,-336.4061279,20.36493683,615.7741699,11.66300011,35.16975021,27.62783432,20.26558304,12.39725018,21.16908264,2.859738566,46.73164368,1.62324929,1,1.973127854,1.770852012,1.568201724,1.740362689,1.04630002,0.87
75,75,Ooldea-West-Australia,131.81,-30.38,14.90175724,946.9136353,366.0930176,-358.9136353,19.34345818,494.3016968,12.2017498,32.42599869,25.17891693,19.66699982,13.0826664,19.44524956,2.770115295,13.64866352,1.322219295,1.113943352,1.662757832,1.69019608,1.716003344,1.72427587,0.795880017,0.47
76,76,Barkindji-Ns-Wales,142.25,-32.4,14.83446884,936.9838867,500.6960144,-111.9838867,18.81935501,566.6543579,10.86225033,31.9572506,25.6218338,19.42916679,11.72066689,18.50575066,2.916980047,23.19926453,1.579783597,1.255272505,1.924279286,1.812913357,1.755874856,1.86332286,0.62838893,15.43
77,77,Kaurna-So-Australia,138.4,-34.56,14.54525661,799.8442383,714.9856567,430.1557617,16.66468048,424.3593445,10.91073799,27.03422737,21.81476402,17.3742733,11.43400478,16.03568268,3.090258053,36.59511948,1.698970004,1.278753601,1.770852012,1.991226076,2.161368002,2.049218023,0.419129308,18
78,78,Wongaibon-Ns-Wales,146.09,-32.14,14.63039303,890.9935913,665.9141846,243.0064087,17.8412075,608.6489258,9.40225029,31.31500053,25.30591583,18.20566559,10.22583389,17.62741661,3.054995862,10.35347271,1.579783597,1.447158031,2.025305865,1.949390007,1.977723605,1.963787827,0.84509804,5.12
79,79,Mineng-West-Australia,117.81,-34.95,14.32350445,734.3300781,1258.413818,1722.669922,15.32641697,304.1254883,11.44674969,24.03450012,18.88249969,16.58374977,11.77225018,14.06716633,3.390581879,56.06582642,2.11058971,1.380211242,1.86923172,2.283301229,2.540329475,2.322219295,0.68797462,7
80,80,Kurnai-Bratauolung,147.42,-37.59,13.5862112,684.3009644,1143.783447,1484.698975,13.09389591,397.2378845,7.697999954,23.04674911,18.03808403,13.51458359,8.262833595,12.56008339,3.336459734,16.10938263,1.892094603,1.69019608,2.250420002,2.225309282,2.220108088,2.33243846,1.648360011,17.7
81,81,Kiliwa,-115.25,31.44,15.25376129,1004.929993,284.4017334,-554.9299927,19.59424973,602.8679199,12.14124966,34.35774994,12.53349972,17.98883438,27.01683235,20.8378334,2.654176542,63.86349106,1.447158031,0.301029996,1.755874856,1.322219295,1.602059991,1.556302501,1.747217536,12.25
82,82,Diegueno_(Southern),-116.49,32.44,14.47381783,800.421875,601.49823,210.578125,16.17716599,560.2724609,9.791250229,31.98349953,10.11983299,13.6590004,23.16766739,17.76216698,3.005180513,77.02444458,1.785329835,0.477121255,2.206825876,1.963787827,1.414973348,1.792391689,1.433369747,18.1
83,83,Wukchumi,-118.96,36.45,14.51877022,872.1818237,833.1981201,597.8181763,16.72741699,718.4278564,7.955500126,33.61100006,8.625499725,14.74041653,25.77716637,17.76658249,3.167612673,87.82143402,1.986771734,0.301029996,2.394451681,2.155336037,0.903089987,1.977723605,2.070499636,24.21
84,84,Tubatulabal,-118.32,36,12.8785305,540.078186,926.1054077,1127.921875,7.832229137,710.0936279,-1.172000051,24.67474937,-0.306750029,5.338666439,16.62133408,9.675666809,3.222456337,79.32316589,2,0.903089987,2.442479769,2.149219113,1.447158031,2.056904851,1.844321821,17.2
85,85,Yokuts-(N.Foothills),-120.44,37.44,14.30934715,874.5266113,679.821106,286.4733887,16.79710388,702.0258789,7.367750168,33.43099976,8.346166611,15.62424946,25.3109169,17.90708351,3.065206128,87.42491913,1.84509804,0.301029996,2.281033367,2.045322979,0.77815125,1.919078092,1.010723865,38.29
86,86,Monachi-Southern,-117.08,36.6,15.14548588,1291.570313,164.6304321,-1036.570313,20.58283234,912.1439209,8.393500328,40.97100067,9.665750504,19.95558357,31.99141693,20.71858406,2.408239965,51.94426727,1.176091259,0.477121255,1.556302501,1.278753601,1.204119983,1.255272505,1.847418408,28.7
87,87,Yana_(Northern),-122.89,40.38,13.40963173,655.699585,1529.260742,2623.300293,11.37831211,606.6686401,4.421000004,25.5142498,5.014500141,8.890666962,18.97041702,12.6376667,3.515873844,81.87502289,2.278753601,0.77815125,2.728353782,2.397940009,1.556302501,2.440909082,1.841984805,31.3
88,88,Miwok_(Sierra),-122.77,38,13.77608681,679.706604,1587.111328,2722.293457,13.27944374,289.9264832,9.320666313,22.28266716,9.757332802,12.21088886,16.20533371,14.94422245,3.531861949,94.1885376,2.371067862,0.602059991,2.795880017,2.408239965,1.176091259,2.383815366,1.950608225,24.54
89,89,Shasta-(Eastern),-122.7,41.62,13.01413155,605.3813477,1077.296509,1404.618652,9.508625031,660.0646362,1.237499952,25.47049904,2.102916718,7.565583229,17.73983383,10.62616634,3.303412071,70.87171173,2.068185862,1,2.495544338,2.155336037,1.672097858,2.23299611,1.983400738,25
90,90,Atsugewi,-121.12,40.75,12.47344875,513.7330933,1070.902466,1481.266846,6.649854183,679.241272,-1.527250051,22.60824966,-1.01425004,4.638000011,15.2240839,7.751583099,3.300160537,55.77534103,1.973127854,1.041392685,2.421603927,2.238046103,1.763427994,2.240549248,1.888600662,17.93
91,91,Maidu_(Mt.),-120.56,40.28,12.58635426,526.3485718,965.6582642,1228.651367,7.057145596,689.3580933,-1.43324995,23.3967495,-0.840749979,5.185833454,15.75424957,8.129249573,3.244524512,63.10439682,1.968482949,1,2.40654018,2.152288344,1.653212514,2.167317335,2.228528677,23.5
92,92,Achomawi_(Western),-121.19,41.32,12.86425209,575.2227173,833.1981201,894.7772827,8.44920826,722.62677,-0.905250013,25.44574928,-0.027666667,6.946249962,17.47858429,9.399666786,3.167612673,52.18978882,1.832508913,0.903089987,2.276461804,2.123851641,1.672097858,2.096910013,0.882239848,17.25
93,93,Guaicura,-111.54,25,15.89251328,1168.846069,262.6773987,-754.8460693,22.32722855,443.1038208,16.72574997,38.00325012,17.3061676,20.32416725,27.14966583,24.52891731,2.618048097,106.2087021,1.556302501,0,1.602059991,0.602059991,1.672097858,1.707570176,0.494850022,6
94,94,Chichimec,-100,22,15.88625336,1114.984741,888.5893555,472.0152588,22.1316452,342.6274719,16.81974983,33.65575027,17.53641701,24.14641762,25.26599884,21.57774925,3.200850498,81.19507599,2.033423755,0.954242509,1.544068044,1.86923172,2.394451681,2.245512668,0.301029996,9
95,95,Shoshoni-Death_Valley,-116.81,36.52,14.62521458,938.8441772,215.0099792,-602.8441772,17.21856308,829.2056885,6.732999802,36.11425018,7.541833401,15.87874985,27.71708298,17.73658371,2.527629901,46.6652298,1.255272505,0.602059991,1.643452676,1.361727836,1.431363764,1.342422681,2.01911629,1.29
96,96,Coahuilenos,-102.07,26,15.18192959,1019.226624,400.8400574,-371.2266235,20.33927155,500.0923462,12.74849987,33.75849915,13.62391663,21.58349991,25.73958397,20.41008377,2.812244697,71.34274292,1.62324929,0.698970004,1.431363764,1.462397998,2.017033339,1.77815125,1.630936119,1.68
97,97,Panamint,-117.33,36.37,14.04818439,760.206543,322.005249,-247.206543,13.8956871,791.9607544,4.063250065,31.68625069,4.730000019,12.18783283,23.93058395,14.73433399,2.710963119,50.70365906,1.447158031,0.698970004,1.857332496,1.556302501,1.505149978,1.544068044,1.903768043,2.12
98,98,Koso_Mt.-Little_Lake,-117.7,36.12,13.9624815,744.7578125,428.307373,-48.7578125,13.71112442,752.7722168,4.434999943,31.06974983,5.008916378,11.80058289,23.22616768,14.80883312,2.843232778,66.6905365,1.612783857,0.698970004,2.037426498,1.73239376,1.414973348,1.672097858,1.845872874,8.57
99,99,Kawaiisu,-118,35.37,14.60045242,907.3991089,280.7929993,-463.3991089,17.06422806,775.2886353,7.340250015,35.38874817,8.072083473,15.56783295,26.8809166,17.73608398,2.648360011,79.99269867,1.447158031,0.301029996,1.875061263,1.531478917,1.079181246,1.491361694,1.437354128,11.9
100,100,Saline_Valley,-117.79,36.65,13.91352081,727.0803833,411.17453,-61.0803833,13.01004219,802.6470337,2.871750116,30.81674957,3.705583334,11.20075035,23.15216637,13.98166656,2.824125834,60.91582489,1.579783597,0.77815125,2.008600172,1.698970004,1.431363764,1.672097858,2.200029267,2.32
101,101,Antarianunts-So.Paiute,-110.72,37.86,13.11659336,603.5045776,517.2363892,251.4954224,8.98739624,892.2684937,-2.707750082,27.78075027,-1.604583383,7.629083633,20.31708336,9.607999802,2.932473765,31.15505028,1.591064607,1.146128036,1.785329835,1.785329835,1.929418926,1.913813852,2.222065843,3.45
102,102,Kawich_Mountains,-116.45,37.92,12.93488407,545.1210938,440.2328796,171.8789063,7.562979221,788.3108521,-2.070250034,26.51449966,-1.499166727,5.730666637,17.69400024,8.326416969,2.856124444,21.67083549,1.447158031,1.146128036,1.77815125,1.799340549,1.812913357,1.740362689,1.887195177,1.99
103,103,Kaibab,-112.55,36.9,13.79931927,745.5853271,566.2037354,199.4146729,13.19518757,852.9021606,1.972749949,34.02724838,3.120333195,12.00308418,24.01399994,13.64333344,2.975891136,33.61047363,1.579783597,1,1.977723605,1.851258349,1.857332496,1.908485019,1.109747238,3.71
104,104,Mono_Lake-(Kuzedika),-118.85,38.11,13.0645504,556.6547241,472.3240356,217.3452759,8.032166481,745.5189209,-1.476750016,27.89075089,-0.650666654,6.324666977,17.59466553,8.859999657,2.889301703,50.85434723,1.62324929,1.079181246,2.053078443,1.698970004,1.62324929,1.755874856,0.989004616,5.9
105,105,Deep_Springs,-118,37.28,13.84323883,720.4298096,275.3709412,-285.4298096,12.6270628,830.7346191,1.942999959,32.16600037,2.859666824,11.47774982,23.17024994,13.00058365,2.639486489,37.75336075,1.342422681,0.84509804,1.748188027,1.505149978,1.462397998,1.505149978,1.979434551,3.54
