,X,Name,LONG,LAT,ET,PET,NPP,WB,MAT,TS,MCM,MWM,DJF.Tavg,MAM.Tavg,JJA.Tavg,SON.Tavg,Log10.TAP,PS,Log10.PWM,Log10.PDM,Log10.DJF.Prec,Log10.MAM.Prec,Log10.JJA.Prec,Log10.SON.Prec,Log10.TRI,density
125,125,Wadadokado-Harney_Val,-119,43.5,12.83856106,571.8596802,477.3541565,211.1403198,7.86062479,786.3668823,-2.571749926,26.30425072,-1.742499948,7.000750065,17.58683395,8.597416878,2.894316063,33.79317474,1.505149978,1.041392685,1.929418926,1.857332496,1.653212514,1.799340549,0.301029996,1.24
126,126,Agaiduka_(Lemhi_River),-113.84,45.17,12.29453373,511.6708984,532.0291748,370.3291016,5.230499744,863.6984253,-6.659749985,23.09124947,-5.407083511,4.636166573,15.97233295,5.720583439,2.945960704,34.69933319,1.633468456,1.176091259,1.740362689,1.913813852,1.982271233,1.812913357,1.261262869,6.24
127,127,Shoshoni-Little_Smoky,-115.84,39.33,13.03082466,579.7683105,474.0018616,197.2316895,8.227187157,853.9197388,-3.658750057,29.07799911,-2.081083298,7.03550005,18.99175072,8.962583542,2.890979597,15.10509109,1.477121255,1.278753601,1.755874856,1.903089987,1.799340549,1.799340549,1.486076097,1.822
128,128,Coeur_D'alene,-116.34,47.42,12.05912495,502.3959351,1018.31012,2194.604004,5.455416679,728.2022095,-3.690500021,19.6752491,-3.023499966,4.365416527,14.70541668,5.774333,3.431041945,41.57440948,2.089905111,1.431363764,2.515873844,2.330413773,2.103803721,2.369215857,2.077367905,1.5
129,129,Micmac_(Souriquois),-62.7891,46.12854,12.26050282,534.7070313,1029.724121,3083.292969,5.597624779,954.7355347,-7.721750259,22.29324913,-5.985416889,2.758166552,17.00258255,8.615166664,3.558588583,16.02464676,2.120573931,1.939519253,2.509202522,2.419955748,2.434568904,2.546542663,1.055951405,4.32
130,130,Flathead,-113.26,46.28,11.76785183,439.3713074,702.8153687,766.6286621,2.8802917,751.3336792,-6.375249863,18.7765007,-5.728833199,1.213249922,12.52474976,3.512000084,3.08170727,40.7805748,1.785329835,1.255272505,1.799340549,2.075546961,2.120573931,1.963787827,1.997277142,1.5
131,131,Rainy_River-(Emo_Ojibw),-85.1,45.21,12.39744568,569.8893433,1110.12915,1866.110596,6.579562664,994.8026733,-7.075000286,23.49349976,-5.800167084,4.875500202,18.52350044,8.719416618,3.386855529,27.22315598,2.025305865,1.544068044,2.176091259,2.252853031,2.356025857,2.414973348,1.130333768,1.21
132,132,North_Saulteaux-Berens,-95.5,52,11.67568588,505.515564,664.4608154,1237.484375,0.487208366,1384.110596,-20.09250069,21.6079998,-17.67124939,0.32708329,16.64091682,2.652083397,3.241546481,50.91629028,1.934498451,1.278753601,1.838849091,2.041392685,2.387389826,2.209515015,0.67669361,1.2
133,133,Round_Lake_Ojibwa,-90.62,52.71,11.57389641,463.8346252,557.7459717,1543.165405,-1.359437466,1404.745361,-22.00225067,21.24175072,-19.55533409,-2.303583145,15.42283344,0.998333395,3.302763708,49.77449799,2,1.342422681,1.913813852,2.08278537,2.436162647,2.294466226,0.559308011,1.75
134,134,Alcatcho,-124.02,51.32,11.19943047,425.6548767,791.8230591,1476.345093,2.432062387,607.8059082,-4.996749878,15.05125046,-4.424499989,0.74541676,9.944250107,3.463083267,3.279438788,29.81607437,1.908485019,1.51851394,2.285557309,2.064457989,2.155336037,2.269512944,2.1457401,7.5
